
-3.52, 19.01, 4.60
-3.52, 19.02, 4.60
-3.53, 19.07, 4.62
-3.56, 19.20, 4.66
-3.61, 19.41, 4.71
-3.67, 19.73, 4.78
-3.75, 20.15, 4.88
-3.85, 20.67, 5.01
-3.97, 21.29, 5.16
-4.11, 22.00, 5.34
-4.27, 22.80, 5.55
-4.44, 23.67, 5.76
-4.63, 24.60, 5.99
-4.83, 25.60, 6.23
-5.02, 26.66, 6.47
-5.20, 27.77, 6.70
-5.36, 28.92, 6.92
-5.52, 30.11, 7.16
-5.68, 31.33, 7.39
-5.83, 32.57, 7.64
-5.99, 33.82, 7.90
-6.15, 35.09, 8.18
-6.33, 36.36, 8.48
-6.53, 37.63, 8.79
-6.76, 38.90, 9.10
-7.02, 40.18, 9.40
-7.28, 41.45, 9.70
-7.54, 42.72, 10.01
-7.80, 43.98, 10.34
-8.04, 45.25, 10.67
-8.26, 46.54, 11.02
-8.48, 47.86, 11.39
-8.68, 49.22, 11.75
-8.87, 50.60, 12.12
-9.06, 52.02, 12.50
-9.28, 53.48, 12.90
-9.50, 54.98, 13.30
-9.69, 56.49, 13.71
-9.88, 58.05, 14.14
-10.08, 59.67, 14.59
-10.29, 61.37, 15.05
-10.52, 63.13, 15.53
-10.73, 64.94, 16.01
-10.94, 66.81, 16.51
-11.14, 68.77, 17.05
-11.32, 70.80, 17.62
-11.49, 72.85, 18.19
-11.63, 74.89, 18.71
-11.79, 76.90, 19.13
-11.98, 78.88, 19.45
-12.21, 80.83, 19.73
-12.46, 82.79, 20.01
-12.70, 84.74, 20.30
-12.90, 86.68, 20.56
-13.10, 88.60, 20.76
-13.32, 90.49, 20.92
-13.57, 92.35, 21.02
-13.83, 94.20, 21.06
-14.08, 96.06, 21.07
-14.31, 97.93, 21.07
-14.50, 99.83, 21.03
-14.37, 101.05, 21.28
-14.49, 102.40, 21.42
-14.61, 103.86, 21.56
-14.73, 105.37, 21.69
-14.85, 106.90, 21.82
-14.97, 108.43, 21.93
-15.09, 109.93, 22.03
-15.20, 111.39, 22.11
-15.31, 112.81, 22.18
-15.40, 114.16, 22.23
-15.50, 115.47, 22.28
-15.59, 116.73, 22.31
-15.67, 117.94, 22.33
-15.75, 119.13, 22.34
-15.83, 120.28, 22.35
-15.90, 121.39, 22.34
-15.98, 122.48, 22.33
-16.04, 123.53, 22.31
-16.11, 124.57, 22.28
-16.17, 125.56, 22.25
-16.23, 126.52, 22.21
-16.29, 127.46, 22.17
-16.34, 128.39, 22.12
-16.40, 129.30, 22.07
-16.45, 130.20, 22.01
-16.50, 131.09, 21.95
-16.55, 131.95, 21.88
-16.60, 132.82, 21.81
-16.65, 133.69, 21.73
-16.70, 134.55, 21.65
-16.74, 135.42, 21.56
-16.79, 136.26, 21.46
-16.83, 137.12, 21.36
-16.88, 137.97, 21.26
-16.92, 138.82, 21.15
-16.96, 139.65, 21.04
-17.01, 140.48, 20.92
-17.05, 141.29, 20.80
-17.09, 142.13, 20.67
-17.13, 143.00, 20.53
-17.17, 143.89, 20.37
-17.21, 144.79, 20.21
-17.26, 145.68, 20.05
-17.29, 146.55, 19.88
-17.33, 147.40, 19.71
-17.37, 148.25, 19.54
-17.41, 149.10, 19.36
-17.44, 149.95, 19.17
-17.48, 150.80, 18.97
-17.52, 151.66, 18.77
-17.55, 152.52, 18.56
-17.59, 153.37, 18.35
-17.62, 154.22, 18.13
-17.66, 155.13, 17.88
-17.70, 156.17, 17.60
-17.74, 157.29, 17.28
-17.78, 158.49, 16.92
-17.82, 159.42, 16.62
-17.85, 160.35, 16.31
-17.88, 161.28, 15.98
-17.91, 162.21, 15.63
-17.95, 163.13, 15.27
-17.98, 164.06, 14.90
-18.01, 164.99, 14.51
-18.04, 165.92, 14.10
-18.07, 166.85, 13.67
-18.09, 167.78, 13.23
-18.12, 168.71, 12.78
-18.15, 169.63, 12.31
-18.18, 170.56, 11.83
-18.20, 171.49, 11.33
-18.23, 172.42, 10.81
-18.25, 173.35, 10.28
-18.28, 174.28, 9.74
-18.30, 175.21, 9.18
-18.33, 176.13, 8.61
-18.35, 177.06, 8.02
-18.37, 177.99, 7.42
-18.39, 178.92, 6.81
-18.42, 179.85, 6.18
-18.44, 180.78, 5.54
-18.46, 181.71, 4.89
-18.48, 182.64, 4.22
-18.50, 183.56, 3.55
-18.52, 184.49, 2.86
-18.54, 185.42, 2.16
-18.55, 186.35, 1.45
-18.57, 187.28, 0.73
-18.59, 188.21, -0.00
index: 116, total: 149, lowpass: 59
